DataYear,BuildingType,PrimaryPropertyType,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFABuilding(s),PropertyGFAParking,ListOfAllPropertyUseTypes,LargestPropertyUseType,LargestPropertyUseTypeGFA,SecondLargestPropertyUseType,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseType,ThirdLargestPropertyUseTypeGFA,Latitude,Longitude,City,State,YearsENERGYSTARCertified,SiteEnergyUse(kBtu),SiteEnergyUse(kBtu)_log1p,PropertyGFATotal_log1p
2016,Nonresidential COS,Other,1962,1.0,1,389000,389000,0,Other,Other,368000.0,,,,,47.62208,-122.35398,Seattle,WA,,23658978.0,16.979253262582553,12.871337193291367
2016,Nonresidential COS,Other,1962,1.0,1,91213,91213,0,Other,Other,65000.0,,,,,47.62208,-122.35398,Seattle,WA,,8141155.5,15.912442804053937,11.420963673053087
2016,Nonresidential COS,Other,1938,1.0,5,396085,396085,0,Other,Other,278500.0,,,,,47.62208,-122.35398,Seattle,WA,,20955026.0,16.857889127815785,12.889386638375424
2016,NonResidential,Large Office,2010,1.0,12,571329,571329,0,"Office, Other, Parking",Office,598801.0,Parking,310699.0,Other,26203.0,47.62112,-122.33629,Seattle,WA,,39605888.0,17.49448837728937,13.255722255149015
2016,Nonresidential COS,Other,1962,1.0,2,52000,52000,0,Other,Other,52000.0,,,,,47.62395,-122.35077,Seattle,WA,,2726369.0,14.818481612035468,10.859018228147889
2016,Nonresidential COS,Other,1928,1.0,1,60696,60696,0,Other,Other,108000.0,,,,,47.62395,-122.35077,Seattle,WA,,875943.3125,13.683057797692378,11.013649552432474
2016,Nonresidential COS,Other,1928,1.0,2,262048,262048,0,Other,Other,296000.0,,,,,47.62395,-122.35143,Seattle,WA,,20723248.0,16.84676676808224,12.476286788157395
2016,NonResidential,Small- and Mid-Sized Office,1986,0.0,2,66240,63888,2352,"Data Center, Distribution Center, Office, Parking, Retail Store",Office,45900.0,Data Center,5181.0,Distribution Center,4551.0,47.62391,-122.34837,Seattle,WA,,4166306.25,15.242540649883813,11.101054885563546
2016,NonResidential,Large Office,2010,1.0,6,920598,616891,303707,"Office, Other, Parking",Office,729584.0,Parking,185014.0,Other,6000.0,47.62419,-122.34443,Seattle,WA,,36667044.0,17.417388953217166,13.732779824116587
2016,NonResidential,Small- and Mid-Sized Office,1970,1.0,4,76213,50283,25930,"Office, Other, Parking",Office,48546.0,Parking,21454.0,Other,2406.0,47.62053,-122.35842,Seattle,WA,,3476212.5,15.06145418465498,11.241300451833114
2016,NonResidential,Hotel,2002,1.0,6,96910,59976,36934,"Hotel, Parking",Hotel,59976.0,Parking,36934.0,,,47.62291,-122.35708,Seattle,WA,,5155568.5,15.455588144597986,11.4815483105279
2016,NonResidential,Hotel,1962,2.0,4,50017,50017,0,"Hotel, Swimming Pool",Hotel,50017.0,Swimming Pool,0.0,,,47.65772,-122.31756,Seattle,WA,,5448975.0,15.51093825907765,10.82013821962583
2016,SPS-District K-12,K-12 School,1999,1.0,3,74468,74468,0,K-12 School,K-12 School,75364.0,,,,,47.5636,-122.358,Seattle,WA,,0.0,0.0,11.2181382103884
2016,NonResidential,K-12 School,1923,1.0,3,67743,67743,0,K-12 School,K-12 School,67743.0,,,,,47.62548,-122.30828,Seattle,WA,,2646879.0,14.788892145840842,11.123491173934593
2016,NonResidential,K-12 School,1908,1.0,6,194104,194104,0,K-12 School,K-12 School,194104.0,,,,,47.62644,-122.30429,Seattle,WA,,6219841.5,15.643255142851356,12.176154528742888
2016,NonResidential,Small- and Mid-Sized Office,2003,1.0,3,99433,63681,35752,"Office, Parking",Office,63681.0,Parking,35752.0,,,47.58408,-122.30125,Seattle,WA,,4897760.0,15.40428871987701,11.507249386471992
2016,SPS-District K-12,K-12 School,1991,1.0,2,58933,58933,0,K-12 School,K-12 School,60725.0,,,,,47.57324,-122.29058,Seattle,WA,,0.0,0.0,10.984173452670785
2016,SPS-District K-12,K-12 School,1957,1.0,1,130862,130862,0,K-12 School,K-12 School,134446.0,,,,,47.56413,-122.31208,Seattle,WA,,6456026.0,15.68052467107931,11.78190625342459
2016,SPS-District K-12,K-12 School,1989,1.0,3,59955,59955,0,K-12 School,K-12 School,59955.0,,,,,47.55478,-122.27596,Seattle,WA,,1633399.375,14.306174519488753,11.001366238850489
2016,SPS-District K-12,K-12 School,1964,1.0,2,93218,93218,0,K-12 School,K-12 School,93218.0,,,,,47.63683,-122.35896,Seattle,WA,,2887392.0,14.87586457684853,11.442706842557458
2016,NonResidential,Other,1941,1.0,4,56521,56521,0,Other,Other,49000.0,,,,,47.67524,-122.31534,Seattle,WA,,6357632.0,15.665166696232612,10.94238522187658
2016,NonResidential,Other,1929,1.0,2,206934,206934,0,"Other, Parking",Other,119146.0,Parking,0.0,,,47.67559,-122.31769,Seattle,WA,,4253577.5,15.263271186617455,12.240160013274313
2016,NonResidential,Hotel,2001,1.0,4,51390,51390,0,"Hotel, Parking",Hotel,51390.0,Parking,0.0,,,47.73141,-122.3458,Seattle,WA,,3611538.0,15.09964455525178,10.847218338835674
2016,SPS-District K-12,K-12 School,1963,1.0,2,131013,131013,0,K-12 School,K-12 School,131909.0,,,,,47.72463,-122.35315,Seattle,WA,,3894584.5,15.1750978131389,11.78305946670208
2016,SPS-District K-12,K-12 School,1959,1.0,1,245587,245587,0,K-12 School,K-12 School,245587.0,,,,,47.7257,-122.33684,Seattle,WA,,11765682.0,16.280697632007218,12.411410614126586
2016,NonResidential,Hotel,2002,1.0,3,69138,69138,0,Hotel,Hotel,70609.0,,,,,47.72551,-122.3423,Seattle,WA,,3242458.0,14.991842550528414,11.14387424996344
2016,SPS-District K-12,K-12 School,1991,1.0,3,66588,66588,0,K-12 School,K-12 School,66588.0,,,,,47.65464,-122.34912,Seattle,WA,,0.0,0.0,11.106294677722047
2016,NonResidential,Hotel,1904,1.0,5,190980,190980,0,"Hotel, Parking",Hotel,190980.0,Parking,19051.0,,,47.6048,-122.3368,Seattle,WA,,6505995.0,15.688234771198152,12.159929225640868
2016,Nonresidential COS,Other,1998,1.0,6,284100,284100,0,Other - Entertainment/Public Assembly,Other - Entertainment/Public Assembly,189750.0,,,,,47.60804,-122.3367,Seattle,WA,,14641502.0,16.499370725162287,12.557085087723449
2016,NonResidential,Hospital,1954,4.0,5,285333,285333,0,"Hospital (General Medical & Surgical), Parking",Hospital (General Medical & Surgical),302661.0,Parking,148865.0,,,47.66737,-122.37956,Seattle,WA,,68090728.0,18.03635162381981,12.561415702901638
2016,SPS-District K-12,K-12 School,1991,1.0,2,55513,55513,0,K-12 School,K-12 School,59097.0,,,,,47.6706,-122.36225,Seattle,WA,,1513570.75,14.229982812993525,10.924390520176528
2016,Nonresidential COS,Other,2006,1.0,4,61156,61156,0,"Office, Other",Other,42755.0,Office,29219.0,,,47.60112,-122.32785,Seattle,WA,,9363374.0,16.052316360384616,11.02119960717217
2016,NonResidential,Other,1910,1.0,4,72820,59000,13820,Museum,Museum,58000.0,,,,,47.59809,-122.32283,Seattle,WA,,2010454.625,14.51387193345191,11.195759654126208
2016,NonResidential,Hotel,1996,1.0,4,162222,148022,14200,"Hotel, Parking",Hotel,113702.0,Parking,32692.0,,,47.62614,-122.3467,Seattle,WA,,7946961.0,15.888300275232265,11.996727210857356
2016,SPS-District K-12,K-12 School,1990,1.0,4,289588,289588,0,K-12 School,K-12 School,289588.0,,,,,47.57589,-122.29365,Seattle,WA,,8819852.0,15.992515761177415,12.576217955346896
2016,NonResidential,University,1915,1.0,3,63330,63330,0,College/University,College/University,64820.0,,,,,47.61495,-122.32177,Seattle,WA,,3059758.0,14.933846712657042,11.056130219690564
2016,Campus,University,1970,27.0,2,441071,441071,0,College/University,College/University,483000.0,,,,,47.547,-122.35307,Seattle,WA,,38301744.0,17.46100601447069,12.996963406408776
2016,NonResidential,Small- and Mid-Sized Office,2002,1.0,2,96300,96300,0,"Data Center, Office",Office,92300.0,Data Center,4944.0,,,47.67828,-122.26456,Seattle,WA,,16319835.0,16.607891858430136,11.475233981948293
2016,Nonresidential COS,Other,1950,1.0,1,67356,67356,0,"Repair Services (Vehicle, Shoe, Locksmith, etc)","Repair Services (Vehicle, Shoe, Locksmith, etc)",68359.0,,,,,47.59545,-122.32146,Seattle,WA,,7475577.5,15.82715206555082,11.117762111107313
2016,SPS-District K-12,K-12 School,2008,1.0,3,254523,254523,0,K-12 School,K-12 School,254523.0,,,,,47.60598,-122.30156,Seattle,WA,,13567774.0,16.423208053739526,12.447150413080536
2016,SPS-District K-12,K-12 School,2001,1.0,3,78804,78804,0,K-12 School,K-12 School,78804.0,,,,,47.51482,-122.25864,Seattle,WA,,2499140.0,14.731457630794424,11.27473172560964
2016,SPS-District K-12,K-12 School,2002,1.0,3,66994,66994,0,K-12 School,K-12 School,66994.0,,,,,47.61224,-122.29087,Seattle,WA,,2371304.5,14.67895120533437,11.112373268722708
